track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_year
0.66,1,1,0.748,0.916,0.55,0.92,1,0.0583,0.102,0.0,0.0653,0.518,0.51,2019
0.67,1,1,0.726,0.815,1.0,0.87,1,0.0373,0.0724,0.0,0.357,0.693,0.42,2019
0.7,1,1,0.675,0.931,0.09,0.9,0,0.0742,0.0794,0.0,0.11,0.613,0.52,2019
0.6,1,1,0.718,0.93,0.64,0.9,1,0.102,0.0287,0.0,0.204,0.277,0.51,2019
0.69,1,1,0.65,0.833,0.09,0.88,1,0.0359,0.0803,0.0,0.0833,0.725,0.52,2019
0.67,1,1,0.675,0.919,0.73,0.86,1,0.127,0.0799,0.0,0.143,0.585,0.52,2019
0.62,1,1,0.449,0.856,0.45,0.88,0,0.0623,0.187,0.0,0.176,0.152,0.47,2019
0.69,1,1,0.542,0.903,0.36,0.93,0,0.0434,0.0335,0.0,0.111,0.367,0.53,2019
0.68,1,1,0.594,0.935,0.73,0.9,1,0.0565,0.0249,0.0,0.637,0.366,0.53,2019
0.67,1,1,0.642,0.818,0.18,0.88,1,0.032,0.0567,0.0,0.0919,0.59,0.52,2019
0.58,1,1,0.679,0.923,0.55,0.84,1,0.181,0.146,0.0,0.124,0.752,0.51,2019
0.67,1,1,0.437,0.774,0.73,0.87,1,0.0554,0.148,0.0,0.133,0.329,0.51,2019
0.67,1,1,0.744,0.726,0.09,0.88,1,0.0463,0.0399,0.0,0.374,0.687,0.51,2019
0.68,1,1,0.572,0.915,0.45,0.88,0,0.0625,0.0111,0.0,0.339,0.678,0.52,2019
0.63,1,1,0.69,0.78,0.45,0.88,0,0.0594,0.00733,0.0,0.0729,0.238,0.53,2019
0.66,1,1,0.805,0.835,0.0,0.88,1,0.0896,0.13,0.0,0.365,0.722,0.52,2019
0.6,1,1,0.694,0.901,0.09,0.89,0,0.0948,0.0702,0.0,0.427,0.368,0.49,2019
0.65,1,1,0.678,0.747,0.91,0.86,0,0.165,0.0395,0.0,0.174,0.516,0.5,2018
0.69,1,1,0.746,0.557,0.09,0.83,1,0.0542,0.103,0.0,0.138,0.324,0.47,2019
0.35,1,1,0.467,0.821,0.64,0.86,1,0.0934,0.00791,0.0,0.131,0.232,0.51,2019
0.7,1,1,0.572,0.934,0.55,0.87,0,0.0446,0.00292,0.02,0.105,0.204,0.53,2019
0.64,1,1,0.708,0.913,0.82,0.89,0,0.0348,0.089,0.08,0.113,0.707,0.56,2019
0.62,1,1,0.684,0.818,0.36,0.88,0,0.128,0.0469,0.0,0.119,0.336,0.52,2019
0.7,1,1,0.732,0.85,0.09,0.85,1,0.0444,0.114,0.0,0.0388,0.372,0.52,2019
0.58,1,1,0.62,0.889,1.0,0.9,1,0.0352,0.0163,0.0,0.395,0.422,0.46,2019
0.63,1,1,0.675,0.76,1.0,0.83,1,0.0434,0.104,0.0,0.33,0.468,0.52,2019
0.66,1,1,0.682,0.851,0.09,0.83,0,0.0363,0.0146,0.0,0.0289,0.348,0.53,2019
0.08,1,1,0.663,0.905,0.09,0.9,0,0.0511,0.0325,0.0,0.333,0.397,0.53,2019
0.62,1,1,0.625,0.938,0.55,0.89,1,0.0517,0.00432,0.0,0.0923,0.371,0.53,2019
0.3,1,1,0.679,0.909,0.09,0.91,1,0.105,0.0334,0.0,0.269,0.819,0.5,2019
0.56,1,1,0.641,0.869,1.0,0.88,1,0.0423,0.0319,0.0,0.403,0.358,0.53,2019
0.56,1,1,0.702,0.814,0.0,0.82,0,0.0841,0.107,0.0,0.374,0.503,0.51,2018
0.58,1,1,0.723,0.837,1.0,0.84,1,0.0389,0.0103,0.0,0.0834,0.643,0.52,2018
0.6,1,1,0.742,0.864,0.0,0.87,1,0.0976,0.00141,0.0,0.241,0.727,0.52,2019
0.6,1,1,0.716,0.815,0.91,0.89,1,0.0533,0.108,0.0,0.163,0.351,0.52,2019
0.55,1,1,0.748,0.831,0.09,0.87,1,0.115,0.0823,0.0,0.0757,0.894,0.53,2019
0.59,1,1,0.816,0.833,0.45,0.85,1,0.0511,0.126,0.0,0.0625,0.793,0.51,2018
0.63,1,1,0.633,0.854,0.0,0.89,0,0.0432,0.0382,0.0,0.434,0.659,0.53,2018
0.67,1,1,0.563,0.81,0.18,0.91,1,0.0522,0.00522,0.0,0.0846,0.495,0.54,2019
0.55,1,1,0.728,0.815,1.0,0.92,0,0.046,0.00223,0.0,0.101,0.681,0.52,2019
0.56,1,1,0.846,0.773,0.45,0.9,1,0.0473,0.0141,0.0,0.204,0.586,0.52,2019
0.87,1,1,0.693,0.678,0.73,0.83,1,0.0324,0.0154,0.0,0.101,0.404,0.43,2019
0.62,1,1,0.678,0.928,0.27,0.9,0,0.0597,0.0303,0.0,0.143,0.663,0.49,2019
0.83,1,1,0.67,0.453,0.0,0.74,1,0.295,0.252,0.33,0.117,0.68,0.56,2019
0.55,1,1,0.755,0.931,0.09,0.89,0,0.0606,0.132,0.03,0.0854,0.288,0.51,2019
0.61,1,1,0.622,0.859,0.45,0.82,1,0.0636,0.000609,0.75,0.0909,0.442,0.51,2019
0.56,1,1,0.789,0.893,0.91,0.88,0,0.168,0.0538,0.0,0.221,0.41,0.51,2019
0.57,1,1,0.64,0.838,0.55,0.89,1,0.0416,0.0588,0.0,0.0424,0.587,0.52,2019
0.56,1,1,0.609,0.764,0.45,0.88,0,0.111,0.0994,0.0,0.197,0.531,0.53,2019
0.53,1,1,0.64,0.992,0.36,0.91,0,0.0585,0.0832,0.01,0.109,0.479,0.52,2019
0.56,1,1,0.75,0.81,0.0,0.88,0,0.0572,0.0917,0.0,0.111,0.48,0.5,2019
0.34,1,1,0.535,0.956,0.09,0.91,0,0.0343,0.000609,0.01,0.262,0.12,0.53,2019
0.74,1,1,0.766,0.771,0.55,0.78,1,0.0576,0.00407,0.0,0.113,0.297,0.58,2019
0.46,1,1,0.649,0.821,0.91,0.87,0,0.0472,0.017,0.0,0.0655,0.394,0.53,2019
0.63,1,1,0.588,0.697,0.27,0.88,0,0.0372,0.186,0.0,0.103,0.225,0.52,2018
0.55,1,1,0.355,0.789,0.45,0.88,0,0.165,0.0148,0.0,0.0355,0.169,0.34,2019
0.52,1,1,0.542,0.84,0.0,0.87,0,0.0419,0.0336,0.0,0.277,0.509,0.49,2019
0.67,1,1,0.735,0.5,0.73,0.74,1,0.0511,0.415,0.0,0.13,0.119,0.53,2019
0.63,1,1,0.752,0.84,0.55,0.88,0,0.0373,0.00486,0.01,0.0916,0.461,0.52,2019
0.6,1,1,0.748,0.903,0.27,0.85,0,0.0385,0.0324,0.0,0.106,0.751,0.48,2019
0.45,1,1,0.607,0.955,0.64,0.9,0,0.102,0.0163,0.12,0.0725,0.501,0.53,2019
0.58,1,1,0.607,0.995,0.82,0.93,0,0.0487,0.0921,0.0,0.0445,0.664,0.52,2019
0.51,1,1,0.679,0.786,0.09,0.83,0,0.132,0.119,0.0,0.224,0.47,0.53,2019
0.58,1,1,0.714,0.801,0.45,0.85,0,0.0301,0.0204,0.01,0.334,0.292,0.52,2019
0.56,1,1,0.69,0.862,0.18,0.89,1,0.0944,0.0611,0.0,0.238,0.453,0.51,2018
0.6,1,1,0.775,0.867,0.36,0.82,0,0.204,0.0158,0.01,0.0355,0.565,0.54,2019
0.48,1,1,0.814,0.838,1.0,0.86,1,0.0763,0.001,0.02,0.0185,0.959,0.51,2019
0.56,1,1,0.784,0.779,0.73,0.86,1,0.0387,0.0357,0.03,0.0245,0.459,0.52,2019
0.56,1,1,0.367,0.783,0.55,0.88,1,0.154,0.00515,0.0,0.0545,0.289,0.37,2019
0.65,1,1,0.609,0.83,0.55,0.9,0,0.0793,0.201,0.0,0.0321,0.604,0.49,2018
0.39,1,1,0.591,0.702,0.64,0.86,1,0.0289,0.225,0.0,0.414,0.501,0.43,2019
0.83,1,1,0.59,0.642,0.64,0.89,1,0.122,0.0771,0.0,0.105,0.651,0.45,2019
0.83,1,1,0.791,0.565,0.45,0.89,0,0.0439,0.0623,0.0,0.156,0.181,0.42,2019
0.71,1,1,0.564,0.747,0.45,0.91,1,0.0584,0.0728,0.0,0.151,0.717,0.41,2019
0.81,1,1,0.669,0.801,0.73,0.86,1,0.136,0.268,0.0,0.0594,0.541,0.46,2019
0.85,1,1,0.77,0.882,0.73,0.88,1,0.0602,0.194,0.0,0.316,0.385,0.42,2019
0.76,1,1,0.513,0.788,0.0,0.88,1,0.0364,0.00968,0.0,0.11,0.234,0.58,2019
0.71,1,1,0.72,0.864,0.0,0.91,1,0.208,0.0856,0.0,0.16,0.659,0.4,2019
0.65,1,1,0.789,0.858,0.45,0.88,1,0.0404,0.22,0.0,0.335,0.491,0.46,2019
0.67,1,1,0.294,0.505,0.27,0.81,1,0.042,0.12,0.0,0.0977,0.357,0.36,2019
0.74,1,1,0.665,0.799,0.55,0.92,0,0.0617,0.18,0.0,0.125,0.5,0.43,2019
0.81,1,1,0.46,0.8,0.09,0.9,1,0.05,0.289,0.0,0.121,0.553,0.43,2019
0.71,1,1,0.362,0.921,0.09,0.9,0,0.486,0.123,0.0,0.19,0.529,0.72,2019
0.75,1,1,0.686,0.83,0.73,0.88,1,0.0369,0.0948,0.0,0.182,0.486,0.51,2019
0.73,1,1,0.618,0.66,1.0,0.81,0,0.0372,0.0292,0.0,0.325,0.408,0.44,2019
0.79,1,1,0.665,0.699,1.0,0.87,1,0.0578,0.423,0.0,0.0969,0.585,0.52,2018
0.74,1,1,0.661,0.725,0.55,0.87,1,0.0563,0.0253,0.0,0.123,0.605,0.5,2018
0.63,1,1,0.571,0.752,0.27,0.87,1,0.0293,0.0196,0.0,0.114,0.25,0.43,2019
0.79,1,1,0.591,0.705,0.82,0.84,0,0.079,0.381,0.0,0.131,0.27,0.51,2019
0.16,1,1,0.652,0.898,0.64,0.88,0,0.0361,0.29,0.0,0.073,0.472,0.48,2018
0.75,1,1,0.706,0.855,0.91,0.86,1,0.215,0.0911,0.0,0.347,0.293,0.45,2018
0.75,1,1,0.404,0.806,0.18,0.88,1,0.0496,0.198,0.0,0.114,0.112,0.62,2019
0.55,1,1,0.876,0.856,0.36,0.89,1,0.0486,0.0812,0.0,0.457,0.685,0.51,2019
0.3,1,1,0.802,0.645,0.45,0.85,0,0.0715,0.272,0.0,0.119,0.376,0.42,2019
0.62,1,1,0.906,0.832,0.45,0.91,0,0.0718,0.0909,0.0,0.152,0.751,0.43,2019
0.84,1,1,0.753,0.657,0.64,0.91,1,0.0449,0.171,0.0,0.112,0.437,0.45,2018
0.7,1,1,0.693,0.674,0.45,0.88,1,0.0723,0.185,0.0,0.0639,0.378,0.4,2019
0.37,1,1,0.672,0.815,0.09,0.84,0,0.0981,0.00246,0.0,0.577,0.341,0.48,2019
0.7,1,1,0.581,0.76,0.0,0.89,1,0.0406,0.16,0.0,0.183,0.523,0.43,2019
0.74,1,1,0.643,0.594,0.18,0.86,1,0.0318,0.0128,0.0,0.118,0.442,0.6,2019
0.85,1,1,0.674,0.881,0.82,0.92,1,0.147,0.296,0.0,0.0793,0.234,0.41,2019
0.36,1,1,0.691,0.538,0.0,0.77,1,0.103,0.246,0.16,0.178,0.329,0.42,2019
0.52,1,1,0.661,0.758,0.64,0.86,1,0.0864,0.0797,0.0,0.106,0.387,0.48,2019
0.58,1,1,0.653,0.69,0.09,0.87,1,0.0756,0.109,0.0,0.136,0.652,0.46,2019
